丿	drop (の)
乙	fishguts, fishhook (おつ)
亠	top hat (なべぶた)
人	person (ひと、にんべん)
入	enter, go in, put in (いる)
冂	hood (どうがまえ)
冖	crown (ワかんむり)
冫	ice (にすい)
凵	shovel (うけばこ)
刀	sword, dagger, sabre (かたな、りっとう)
力	power, muscle (ちから)
匕	spoon, sitting on the ground (さじ)
匚	box (はこがまえ)
匸	box (かくしがまえ)
十	ten, needle (じゅう)
卜	augury, magic wand (うらない、ぼくのと)
卩	stamp (ふしづくり)
厂	cliff (がんだれ)
厶	elbow (む)
又	or again, crotch (また)
囗	pent in (くにがまえ)
土	soil, dirt, land (つち)
士	gentleman, samurai (さむらい)
夂	walking legs (なつあし、ふゆがしら)
夊	walking legs (すい、なつあし)
夕	evening (ゆうべ)
大	large, St. Bernard dog, large dog (だい、おおきい)
女	woman (おんな)
子	child (こ)
宀	house (ウかんむり)
寸	measurement, glue (すん)
小	little, small (ちいさい、なおがしら)
尢	chihuahua with a human leg (but no "drop"), lame (まげあし、もっとも)
尸	flag (かばね、しかばね)
屮	mountain goat with horns missing (てつ)
山	mountain (やま)
川	stream (かわ、まがりがわ)
工	craft (たくみ)
己	self, snake (おのれ)
巾	towel (はば)
干	dry, clothesline (ほす、いちじゅう)
幺	cocoon (いとがしら)
广	cave (まだれ)
廴	stretch (えんにょう)
廾	two hands (にじゅうあし)
弋	arrow (しきがまえ)
弓	bow (ゆみ)
ヨ	broom (けいがしら)
彡	shape (さんづくり)
彳	column, going, line (ぎょうにんべん)
心	heart, valentine, state of mind (こころ)
戈	fiesta (かのほこ、ほこ)
戸	door (とびらのと)
手	hand, fingers (て、てへん)
支	branch (えだ、じゅうまた)
攴, alt. 攵	taskmaster (とまた、のぶん)
文	sentence, plaid (ぶん)
斗	big dipper, measuring cup (とます)
斤	axe (おの)
方	direction, compass (かた、かたへん)
无, alt. 旡	waitress (むにょう)
日	day, sun, tongue wagging in mouth (ひ、にち、じつ)
曰	sayeth, sun (ひらび、いわく)
木	tree, wood (き、もく)
欠	lack, yawn (あくび)
止	stop, footprint (とめる)
歹	bones (いちた、がつへん)
殳	missile (るまた)
毋	mother (はは)
比	compare (くらべる、ひ)
毛	fur (もう、け)
